fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;type_Red;type_White
6.8;0.37;0.28;1.9;0.024;64.0;106.0;0.98993;3.45;0.6;12.6;8;0;1
5.0;0.17;0.56;1.5;0.026000000000000002;24.0;115.0;0.9906;3.48;0.39;10.8;7;0;1
5.9;0.12;0.28;1.4;0.037000000000000005;36.0;83.0;0.99074;3.33;0.42;10.9;7;0;1
6.0;0.2;0.26;6.8;0.049;22.0;93.0;0.9928;3.15;0.42;11.0;6;0;1
5.7;0.33;0.32;1.4;0.043;28.0;93.0;0.9897;3.31;0.5;12.3;6;0;1
10.5;0.24;0.42;1.8;0.077;6.0;22.0;0.9976;3.21;1.05;10.8;7;1;0
5.8;0.14;0.15;6.1;0.042;27.0;123.0;0.9936200000000001;3.06;0.6;9.9;6;0;1
6.5;0.22;0.32;2.2;0.027999999999999997;36.0;92.0;0.9907600000000001;3.27;0.59;11.9;7;0;1
6.7;0.21;0.49;1.4;0.047;30.0;114.0;0.9914;2.92;0.42;10.8;7;0;1
6.7;0.44;0.31;1.9;0.03;41.0;104.0;0.99;3.29;0.62;12.6;7;0;1
6.8;0.22;0.36;1.2;0.052000000000000005;38.0;127.0;0.9933;3.04;0.54;9.2;5;0;1
6.9;0.19;0.39;8.0;0.027999999999999997;22.0;84.0;0.9940000000000001;3.11;0.66;10.8;6;0;1
10.1;0.27;0.54;2.3;0.065;7.0;26.0;0.99531;3.17;0.53;12.5;6;1;0
6.8;0.36;0.32;1.6;0.039;10.0;124.0;0.9948;3.3;0.67;9.6;5;0;1
7.2;0.3;0.26;1.5;0.040999999999999995;46.0;178.0;0.99154;3.19;0.56;11.3;6;0;1
7.1;0.33;0.18;6.3;0.094;27.0;166.0;0.99474;2.9;0.49;9.5;5;0;1
6.2;0.21;0.18;11.6;0.044000000000000004;61.0;155.0;0.99655;3.14;0.52;9.4;6;0;1
7.9;0.545;0.06;4.0;0.087;27.0;61.0;0.9965;3.36;0.67;10.7;6;1;0
6.7;0.28;0.34;8.9;0.048;32.0;111.0;0.99455;3.25;0.54;11.0;7;0;1
6.6;0.5;0.04;2.1;0.068;6.0;14.0;0.9955;3.39;0.64;9.4;6;1;0
6.4;0.69;0.09;7.6;0.044000000000000004;34.0;144.0;0.9948;3.26;0.38;10.1;6;0;1
7.2;0.41;0.3;2.1;0.083;35.0;72.0;0.997;3.44;0.52;9.4;5;1;0
6.5;0.33;0.28;6.1;0.018000000000000002;41.0;103.0;0.9912200000000001;3.24;0.32;12.2;6;0;1
7.7;0.75;0.27;3.8;0.11;34.0;89.0;0.99664;3.24;0.45;9.3;5;1;0
5.6;0.2;0.66;10.2;0.043;78.0;175.0;0.9945;2.98;0.43;10.4;7;0;1
5.8;0.34;0.21;6.6;0.04;50.0;167.0;0.9941;3.29;0.62;10.0;5;0;1
7.2;0.36;0.36;5.7;0.038;26.0;98.0;0.9914;2.93;0.59;12.5;7;0;1
7.3;0.25;0.41;1.8;0.037000000000000005;52.0;165.0;0.9911;3.29;0.39;12.2;7;0;1
7.2;0.19;0.39;1.2;0.036000000000000004;32.0;85.0;0.9918;3.16;0.5;10.5;5;0;1
7.1;0.14;0.4;1.2;0.051;55.0;136.0;0.9932;3.3;0.96;9.8;7;0;1
6.3;0.24;0.29;13.7;0.035;53.0;134.0;0.99567;3.17;0.38;10.6;6;0;1
6.6;0.17;0.35;2.6;0.03;33.0;78.0;0.99146;3.22;0.72;11.3;6;0;1
6.7;0.51;0.24;2.1;0.043;14.0;155.0;0.9904;3.22;0.6;13.0;6;0;1
6.9;0.52;0.54;7.9;0.036000000000000004;23.0;169.0;0.99267;3.26;0.47;12.2;6;0;1
7.8;0.26;0.49;3.1;0.045;21.0;116.0;0.9931;3.16;0.35;10.3;5;0;1
7.4;0.32;0.55;16.6;0.055999999999999994;53.0;238.0;10.017000000000001;2.96;0.58;8.7;6;0;1
6.8;0.37;0.67;1.5;0.175;16.0;98.0;0.99244;3.06;0.56;10.3;6;0;1
5.1;0.42;0.0;1.8;0.044000000000000004;18.0;88.0;0.9915700000000001;3.68;0.73;13.6;7;1;0
7.5;0.23;0.36;7.0;0.036000000000000004;43.0;161.0;0.9938;3.04;0.32;11.0;5;0;1
6.7;0.33;0.42;6.4;0.057999999999999996;27.0;151.0;0.9954;3.16;0.44;9.6;5;0;1
6.8;0.43;0.26;5.2;0.043;40.0;176.0;0.99116;3.17;0.41;12.3;6;0;1
7.5;0.705;0.1;13.0;0.044000000000000004;44.0;214.0;0.99741;3.1;0.5;9.1;5;0;1
7.6;0.31;0.49;13.4;0.062;50.0;191.0;0.9989;3.22;0.53;9.0;4;0;1
6.8;0.31;0.19;3.5;0.086;30.0;130.0;0.993;2.83;0.44;9.6;5;0;1
7.8;0.57;0.31;1.8;0.069;26.0;120.0;0.99625;3.29;0.53;9.3;5;1;0
7.8;0.32;0.31;1.7;0.036000000000000004;46.0;195.0;0.993;3.03;0.48;10.5;5;0;1
7.0;0.805;0.0;2.5;0.068;7.0;20.0;0.9969;3.48;0.56;9.6;5;1;0
6.4;0.27;0.45;8.3;0.05;52.0;196.0;0.9955;3.18;0.48;9.5;5;0;1
6.6;0.24;0.38;8.0;0.042;56.0;187.0;0.99577;3.21;0.46;9.2;5;0;1
7.1;0.26;0.31;2.2;0.044000000000000004;29.0;128.0;0.9937;3.34;0.64;10.9;8;0;1
7.8;0.645;0.0;2.0;0.08199999999999999;8.0;16.0;0.9964;3.38;0.59;9.8;6;1;0
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2;6;1;0
7.3;0.37;0.16;14.9;0.048;59.0;240.0;0.99902;3.13;0.45;8.9;5;0;1
7.1;0.46;0.2;1.9;0.077;28.0;54.0;0.9956;3.37;0.64;10.4;6;1;0
8.2;0.32;0.26;2.1;0.062;26.0;87.0;0.98974;3.1;0.47;12.8;6;0;1
5.8;0.32;0.28;4.3;0.032;46.0;115.0;0.98946;3.16;0.57;13.0;8;0;1
8.7;0.34;0.46;13.8;0.055;68.0;198.0;0.9988;3.36;0.37;9.5;6;0;1
6.1;0.36;0.16;6.4;0.037000000000000005;36.0;198.0;0.9944;3.17;0.62;9.9;6;0;1
6.7;0.16;0.36;2.0;0.045;24.0;131.0;0.99284;3.3;0.59;10.5;6;0;1
7.7;0.46;0.18;3.3;0.054000000000000006;18.0;143.0;0.99392;3.12;0.51;10.8;6;0;1
7.8;0.28;0.34;1.6;0.027999999999999997;32.0;118.0;0.9901;3.0;0.38;12.1;7;0;1
5.9;0.24;0.3;2.0;0.033;28.0;92.0;0.99225;3.39;0.69;10.9;7;0;1
6.1;0.36;0.26;8.15;0.035;14.0;88.0;0.99031;3.06;0.27;13.0;7;0;1
6.6;0.42;0.13;12.8;0.044000000000000004;26.0;158.0;0.99772;3.24;0.47;9.0;5;0;1
10.6;0.44;0.68;4.1;0.114;6.0;24.0;0.997;3.06;0.66;13.4;6;1;0
6.1;0.68;0.52;1.4;0.037000000000000005;32.0;123.0;0.9902200000000001;3.24;0.45;12.0;6;0;1
6.5;0.19;0.34;1.6;0.028999999999999998;39.0;116.0;0.98954;3.21;0.68;12.5;6;0;1
9.0;0.22;0.49;10.4;0.048;52.0;195.0;0.9987;3.31;0.44;10.2;6;0;1
8.3;0.21;0.4;1.6;0.032;35.0;110.0;0.9907;3.02;0.6;12.9;7;0;1
6.5;0.18;0.34;1.6;0.04;43.0;148.0;0.9912;3.32;0.59;11.5;8;0;1
7.7;0.46;0.18;3.3;0.054000000000000006;18.0;143.0;0.99392;3.12;0.51;10.8;6;0;1
6.8;0.27;0.22;8.1;0.034;55.0;203.0;0.9961;3.19;0.52;8.9;5;0;1
5.3;0.165;0.24;1.1;0.051;25.0;105.0;0.9925;3.32;0.47;9.1;5;0;1
7.5;0.18;0.31;6.5;0.028999999999999998;53.0;160.0;0.9927600000000001;3.03;0.38;10.9;6;0;1
7.6;0.27;0.33;2.0;0.059000000000000004;19.0;175.0;0.9944;3.22;0.56;9.9;5;0;1
7.4;0.61;0.01;2.0;0.07400000000000001;13.0;38.0;0.9974799999999999;3.48;0.65;9.8;5;1;0
7.9;0.2;0.34;1.2;0.04;29.0;118.0;0.9932;3.14;0.41;10.6;6;0;1
6.3;0.305;0.22;16.0;0.061;26.0;141.0;0.99824;3.08;0.5;9.1;5;0;1
8.0;0.2;0.36;1.2;0.032;21.0;78.0;0.9921;3.08;0.37;10.4;6;0;1
7.5;0.58;0.56;3.1;0.153;5.0;14.0;0.9947600000000001;3.21;1.03;11.6;6;1;0
8.0;0.23;0.28;2.7;0.048;49.0;165.0;0.9952;3.26;0.72;9.5;6;0;1
6.4;0.105;0.29;1.1;0.035;44.0;140.0;0.9914200000000001;3.17;0.55;10.7;7;0;1
6.8;0.32;0.34;6.0;0.05;5.0;129.0;0.9953;3.19;0.4;9.1;5;0;1
6.4;0.32;0.5;10.7;0.047;57.0;206.0;0.9968;3.08;0.6;9.4;5;0;1
7.2;0.25;0.28;14.4;0.055;55.0;205.0;0.9986;3.12;0.38;9.0;7;0;1
7.6;0.25;1.23;4.6;0.035;51.0;294.0;0.99018;3.03;0.43;13.1;6;0;1
7.3;0.19;0.49;15.55;0.057999999999999996;50.0;134.0;0.9998;3.42;0.36;9.1;7;0;1
5.7;0.695;0.06;6.8;0.042;9.0;84.0;0.9943200000000001;3.44;0.44;10.2;5;0;1
7.2;0.47;0.16;5.9;0.048;14.0;125.0;0.9942799999999999;3.09;0.49;9.8;5;0;1
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5;1;0
7.4;0.17;0.29;1.4;0.047;23.0;107.0;0.9939;3.52;0.65;10.4;6;0;1
7.7;0.3;0.42;14.3;0.045;45.0;213.0;0.9991;3.18;0.63;9.2;5;0;1
7.1;0.26;0.19;8.2;0.051;53.0;187.0;0.996;3.16;0.52;9.7;5;0;1
15.6;0.685;0.76;3.7;0.1;6.0;43.0;10.032;2.95;0.68;11.2;7;1;0
6.8;0.18;0.28;9.8;0.039;29.0;113.0;0.99406;3.11;0.45;10.9;7;0;1
6.0;0.21;0.34;2.0;0.042;63.0;123.0;0.9905200000000001;3.44;0.42;11.4;6;0;1
6.0;0.31;0.24;3.3;0.040999999999999995;25.0;143.0;0.9914;3.31;0.44;11.3;6;0;1
7.3;0.26;0.33;17.85;0.049;41.5;195.0;1.0;3.06;0.44;9.1;7;0;1
8.0;0.2;0.3;8.1;0.037000000000000005;42.0;130.0;0.99379;3.1;0.67;11.8;6;0;1
7.2;0.21;0.34;1.1;0.046;25.0;80.0;0.992;3.25;0.4;11.3;6;0;1
7.6;0.48;0.31;2.8;0.07;4.0;15.0;0.9969299999999999;3.22;0.55;10.3;6;1;0
6.8;0.21;0.36;18.1;0.046;32.0;133.0;1.0;3.27;0.48;8.8;5;0;1
6.4;0.18;0.74;11.9;0.046;54.0;168.0;0.9978;3.58;0.68;10.1;5;0;1
6.5;0.41;0.24;14.0;0.048;24.0;113.0;0.9982;3.44;0.53;9.8;6;0;1
6.5;0.36;0.38;10.2;0.027999999999999997;20.0;82.0;0.99274;3.1;0.43;12.1;7;0;1
8.2;0.34;0.37;1.9;0.057;43.0;74.0;0.99408;3.23;0.81;12.0;6;1;0
6.1;0.15;0.35;15.8;0.042;55.0;158.0;0.9964200000000001;3.24;0.37;10.6;5;0;1
7.6;0.17;0.27;4.6;0.05;23.0;98.0;0.9942200000000001;3.08;0.47;9.5;6;0;1
7.8;0.28;0.34;1.6;0.027999999999999997;32.0;118.0;0.9901;3.0;0.38;12.1;7;0;1
5.7;0.26;0.24;17.8;0.059000000000000004;23.0;124.0;0.9977299999999999;3.3;0.5;10.1;5;0;1
6.6;0.36;0.29;1.6;0.021;24.0;85.0;0.98965;3.41;0.61;12.4;9;0;1
7.3;0.28;0.42;1.2;0.033;29.0;142.0;0.99205;3.17;0.43;10.7;4;0;1
7.1;0.18;0.74;15.6;0.044000000000000004;44.0;176.0;0.9996;3.38;0.67;9.0;6;0;1
6.2;0.51;0.14;1.9;0.055999999999999994;15.0;34.0;0.9939600000000001;3.48;0.57;11.5;6;1;0
7.1;0.45;0.24;2.7;0.04;24.0;87.0;0.98862;2.94;0.38;13.4;8;0;1
8.0;0.26;0.28;8.2;0.038;72.0;202.0;0.99566;3.12;0.56;10.0;6;0;1
10.7;0.9;0.34;6.6;0.11199999999999999;23.0;99.0;100.289;3.22;0.68;9.3;5;1;0
6.7;0.46;0.27;5.2;0.039;35.0;96.0;0.99129;3.16;0.44;12.4;7;0;1
8.5;0.66;0.2;2.1;0.09699999999999999;23.0;113.0;0.9973299999999999;3.13;0.48;9.2;5;1;0
7.6;0.36;0.31;1.7;0.079;26.0;65.0;0.99716;3.46;0.62;9.5;6;1;0
9.3;0.715;0.24;2.1;0.07;5.0;20.0;0.9966;3.12;0.59;9.9;5;1;0
7.2;0.24;0.29;2.2;0.037000000000000005;37.0;102.0;0.992;3.27;0.64;11.0;7;0;1
8.2;0.18;0.49;1.1;0.033;28.0;81.0;0.9923;3.0;0.68;10.4;7;0;1
6.0;0.25;0.28;7.7;0.053;37.0;132.0;0.9948899999999999;3.06;0.5;9.4;6;0;1
8.5;0.19;0.48;1.1;0.026000000000000002;23.0;58.0;0.9918399999999999;2.9;0.5;10.5;6;0;1
9.8;0.42;0.48;9.85;0.034;5.0;110.0;0.9958;2.87;0.29;10.0;5;0;1
7.2;0.2;0.61;16.2;0.043;14.0;103.0;0.9987;3.06;0.36;9.2;6;0;1
6.9;0.32;0.3;1.8;0.036000000000000004;28.0;117.0;0.99269;3.24;0.48;11.0;6;0;1
6.8;0.27;0.26;16.1;0.049;55.0;196.0;0.9984;3.15;0.5;9.3;5;0;1
6.7;0.27;0.33;3.6;0.034;9.0;45.0;0.99144;3.08;0.4;10.5;6;0;1
8.2;0.74;0.09;2.0;0.067;5.0;10.0;0.99418;3.28;0.57;11.8;6;1;0
7.9;0.64;0.46;10.6;0.244;33.0;227.0;0.9983;2.87;0.74;9.1;3;0;1
9.3;0.31;0.49;1.3;0.042;34.0;147.0;0.9948;3.11;0.46;9.8;5;0;1
7.3;0.18;0.65;1.4;0.046;28.0;157.0;0.9946;3.33;0.62;9.4;6;0;1
6.3;0.3;0.48;7.4;0.053;34.0;149.0;0.99472;3.18;0.53;9.8;5;0;1
6.9;0.3;0.36;0.9;0.037000000000000005;40.0;156.0;0.9896799999999999;3.08;0.36;12.1;6;0;1
7.0;0.43;0.3;2.0;0.085;6.0;39.0;0.99346;3.33;0.46;11.9;6;1;0
7.2;0.25;0.19;8.0;0.044000000000000004;51.0;172.0;0.9964;3.16;0.44;9.2;5;0;1
8.1;0.26;0.37;1.9;0.07200000000000001;48.0;159.0;0.9949;3.37;0.7;10.9;6;0;1
6.2;0.3;0.32;1.3;0.054000000000000006;27.0;183.0;0.99266;3.3;0.43;10.1;5;0;1
9.8;0.5;0.34;2.3;0.094;10.0;45.0;0.99864;3.24;0.6;9.7;7;1;0
6.8;0.23;0.3;6.95;0.044000000000000004;42.0;179.0;0.9946;3.25;0.56;10.6;6;0;1
6.3;0.24;0.29;13.7;0.035;53.0;134.0;0.99567;3.17;0.38;10.6;6;0;1
7.5;0.14;0.34;1.3;0.055;50.0;153.0;0.9945;3.29;0.8;9.6;6;0;1
5.6;0.19;0.26;1.4;0.03;12.0;76.0;0.9905;3.25;0.37;10.9;7;0;1
9.4;0.23;0.56;16.45;0.063;52.5;282.0;100.098;3.1;0.51;9.3;5;0;1
6.5;0.22;0.32;2.2;0.027999999999999997;36.0;92.0;0.9907600000000001;3.27;0.59;11.9;7;0;1
7.7;0.26;0.3;1.7;0.059000000000000004;20.0;38.0;0.9949;3.29;0.47;10.8;6;1;0
6.8;0.67;0.3;13.0;0.29;22.0;193.0;0.9984;3.08;0.67;9.0;4;0;1
6.6;0.34;0.34;2.6;0.051;40.5;210.0;0.9931399999999999;3.15;0.61;10.0;5;0;1
7.5;0.77;0.2;8.1;0.098;30.0;92.0;0.99892;3.2;0.58;9.2;5;1;0
7.9;0.18;0.4;2.2;0.049;38.0;67.0;0.996;3.33;0.93;11.3;5;1;0
7.3;0.19;0.24;6.3;0.054000000000000006;34.0;231.0;0.9964;3.36;0.54;10.0;6;0;1
6.2;0.2;0.26;9.7;0.03;39.0;102.0;0.9908;3.08;0.56;12.9;7;0;1
7.4;0.2;1.66;2.1;0.022000000000000002;34.0;113.0;0.99165;3.26;0.55;12.2;6;0;1
8.0;0.705;0.05;1.9;0.07400000000000001;8.0;19.0;0.9962;3.34;0.95;10.5;6;1;0
7.0;0.22;0.29;8.9;0.05;24.0;90.0;0.99556;3.29;0.46;9.8;6;0;1
5.6;0.46;0.24;4.8;0.042;24.0;72.0;0.9908;3.29;0.37;12.6;6;0;1
7.2;0.63;0.0;1.9;0.09699999999999999;14.0;38.0;0.99675;3.37;0.58;9.0;6;1;0
6.1;0.17;0.29;1.1;0.040999999999999995;32.0;92.0;0.99036;3.26;0.57;11.2;6;0;1
8.9;0.24;0.39;1.6;0.07400000000000001;3.0;10.0;0.99698;3.12;0.59;9.5;6;1;0
8.5;0.15;0.49;1.5;0.031;17.0;122.0;0.9932;3.03;0.4;10.3;6;0;1
9.4;0.43;0.24;2.8;0.092;14.0;45.0;0.998;3.19;0.73;10.0;6;1;0
8.0;0.42;0.36;5.0;0.037000000000000005;34.0;101.0;0.992;3.13;0.57;12.3;7;0;1
7.8;0.5;0.09;2.2;0.115;10.0;42.0;0.9971;3.18;0.62;9.5;5;1;0
6.0;0.43;0.34;7.6;0.045;25.0;118.0;0.9922200000000001;3.03;0.37;11.0;6;0;1
6.6;0.32;0.22;16.7;0.046;38.0;133.0;0.9979;3.22;0.67;10.4;6;0;1
7.9;0.65;0.01;2.5;0.078;17.0;38.0;0.9963;3.34;0.74;11.7;7;1;0
7.4;0.25;0.28;7.25;0.027999999999999997;14.0;78.0;0.9923799999999999;2.94;0.37;11.5;7;0;1
9.8;0.34;0.39;1.4;0.066;3.0;7.0;0.9947;3.19;0.55;11.4;7;1;0
6.2;0.27;0.18;1.5;0.027999999999999997;20.0;111.0;0.9922799999999999;3.41;0.5;10.0;5;0;1
8.6;0.47;0.47;2.4;0.07400000000000001;7.0;29.0;0.9979;3.08;0.46;9.5;5;1;0
8.0;0.745;0.56;2.0;0.11800000000000001;30.0;134.0;0.9968;3.24;0.66;9.4;5;1;0
6.0;0.28;0.24;17.8;0.047;42.0;111.0;0.9989600000000001;3.1;0.45;8.9;6;0;1
6.9;0.23;0.35;6.9;0.03;45.0;116.0;0.99244;2.8;0.54;11.0;6;0;1
8.0;0.62;0.35;2.8;0.086;28.0;52.0;0.997;3.31;0.62;10.8;5;1;0
8.8;0.34;0.33;9.7;0.036000000000000004;46.0;172.0;0.9966;3.08;0.4;10.2;5;0;1
9.1;0.785;0.0;2.6;0.09300000000000001;11.0;28.0;0.9994;3.36;0.86;9.4;6;1;0
7.0;0.45;0.34;19.8;0.04;12.0;67.0;0.9976;3.07;0.38;11.0;6;0;1
10.4;0.41;0.55;3.2;0.076;22.0;54.0;0.9996;3.15;0.89;9.9;6;1;0
7.2;0.2;0.34;2.7;0.032;49.0;151.0;0.99;3.16;0.39;12.7;7;0;1
5.9;0.29;0.32;1.4;0.022000000000000002;17.0;47.0;0.9899;3.35;0.35;11.5;6;0;1
7.3;0.21;0.21;1.6;0.046;35.0;133.0;0.99466;3.38;0.46;10.0;6;0;1
7.6;0.3;0.37;1.6;0.087;27.0;177.0;0.9943799999999999;3.09;0.5;9.8;5;0;1
7.1;0.84;0.02;4.4;0.096;5.0;13.0;0.997;3.41;0.57;11.0;4;1;0
6.4;0.25;0.74;7.8;0.045;52.0;209.0;0.9956;3.21;0.42;9.2;6;0;1
8.3;0.2;0.49;1.7;0.04;34.0;169.0;0.9938;3.05;0.37;10.1;5;0;1
7.4;0.49;0.24;15.1;0.03;34.0;153.0;0.9953;3.13;0.51;12.0;7;0;1
7.5;0.28;0.41;1.3;0.044000000000000004;11.0;126.0;0.99293;3.28;0.45;10.3;5;0;1
7.3;0.43;0.37;4.6;0.027999999999999997;17.0;114.0;0.991;3.23;0.43;13.2;6;0;1
7.5;0.38;0.57;2.3;0.106;5.0;12.0;0.99605;3.36;0.55;11.4;6;1;0
9.1;0.52;0.33;1.3;0.07;9.0;30.0;0.9978;3.24;0.6;9.3;5;1;0
10.5;0.51;0.64;2.4;0.107;6.0;15.0;0.9973;3.09;0.66;11.8;7;1;0
7.4;0.37;0.26;9.6;0.05;33.0;134.0;0.99608;3.13;0.46;10.4;5;0;1
5.8;0.21;0.32;1.6;0.045;38.0;95.0;0.98946;3.23;0.94;12.4;8;0;1
7.1;0.31;0.25;11.2;0.048;32.0;136.0;0.9966299999999999;3.14;0.4;9.5;5;0;1
6.9;0.49;0.24;1.2;0.049;13.0;125.0;0.9932;3.17;0.51;9.4;5;0;1
7.7;0.53;0.06;1.7;0.07400000000000001;9.0;39.0;0.99615;3.35;0.48;9.8;6;1;0
9.5;0.55;0.66;2.3;0.387;12.0;37.0;0.9982;3.17;0.67;9.6;5;1;0
6.7;0.41;0.27;2.6;0.033;25.0;85.0;0.9908600000000001;3.05;0.34;11.7;6;0;1
6.7;0.25;0.33;2.9;0.057;52.0;173.0;0.9934;3.02;0.48;9.5;7;0;1
6.6;0.23;0.32;0.9;0.040999999999999995;25.0;79.0;0.9926;3.39;0.54;10.2;7;0;1
6.1;0.24;0.27;11.5;0.05;51.0;133.0;0.9947600000000001;3.22;0.37;10.8;6;0;1
6.4;0.595;0.14;5.2;0.057999999999999996;15.0;97.0;0.9951;3.38;0.36;9.0;4;0;1
6.3;0.19;0.32;2.8;0.046;18.0;80.0;0.9904299999999999;2.92;0.47;11.05;6;0;1
6.4;0.29;0.18;15.0;0.04;21.0;116.0;0.99736;3.14;0.5;9.2;5;0;1
7.1;0.15;0.34;5.3;0.034;33.0;104.0;0.9953;3.37;0.52;9.3;7;0;1
5.9;0.29;0.25;13.4;0.067;72.0;160.0;0.99721;3.33;0.54;10.3;6;1;0
7.1;0.59;0.02;2.3;0.08199999999999999;24.0;94.0;0.99744;3.55;0.53;9.7;6;1;0
8.1;0.34;0.28;7.5;0.04;70.0;230.0;0.9955799999999999;3.14;0.55;9.8;6;0;1
11.4;0.36;0.69;2.1;0.09;6.0;21.0;1.0;3.17;0.62;9.2;6;1;0
6.9;0.25;0.35;9.2;0.034;42.0;150.0;0.9947;3.21;0.36;11.5;6;0;1
7.5;0.26;0.52;13.2;0.047;64.0;179.0;0.9982;3.1;0.46;9.0;5;0;1
